-3.16	30000 -0.26 -0.42 -0.70 -0.81 -0.93	-0.30		
-2.70	25400 -0.22 -0.36 -0.61 -0.71 -0.81	-0.26
-2.35	22000 -0.19 -0.32 -0.55 -0.65 -0.74	-0.22
-1.94	18700 -0.16 -0.27 -0.45 -0.53 -0.61	-0.19
-1.70	17000 -0.13 -0.24 -0.40 -0.47 -0.55	-0.16
-1.46	15400 -0.10 -0.22 -0.35 -0.41 -0.57	-0.14
-1.21	14000 -0.09 -0.19 -0.32 -0.37 -0.43	-0.13
-1.02	13000 -0.08 -0.17 -0.29 -0.34 -0.39	-0.11
-0.80	11900 -0.15 -0.12 -0.26 -0.31 -0.35	-0.09
-0.51	10500  0.08 -0.06 -0.14 -0.16 -0.18	-0.06
-0.30	9520   0.00  0.00  0.00  0.00  0.00	0.00
-0.23	9230   0.02  0.05  0.06  0.06  0.07 	0.03
-0.20	8970   0.05  0.09  0.12  0.13  0.14	0.06
-0.17	8720   0.08  0.13  0.18 0.21 0.22	0.09
-0.16	8460   0.11  0.18  0.25 0.28 0.30	0.12
-0.15	8200   0.14  0.22  0.30 0.36 0.38	0.14
-0.13	8350   0.21  0.24  0.34 0.41 0.44	0.16
-0.12	7850   0.27  0.28  0.39 0.47 0.50	0.19
-0.10	7580   0.32  0.34  0.45 0.54 0.57	0.23
-0.10	7390   0.37  0.41  0.50 0.61 0.64 	0.27
-0.09	7200   0.42  0.47  0.54 0.67 0.70	0.31
-0.10	7050   0.44  0.51  0.58 0.73 0.76	0.33
-0.11	6890   0.46  0.55  0.63 0.79 0.82	0.35
-0.12	6740   0.48  0.58  0.69 0.87 0.91	0.37
-0.13	6590   0.51  0.61  0.76 0.97 1.01	0.39
-0.14	6440   0.54  0.64  0.83 1.06 1.10	0.42
-0.15	6360   0.58  0.68  0.87 1.17 1.21	0.46
-0.16	6280   0.62  0.72  0.98 1.27 1.32	0.50
-0.16	6200   0.66  0.76  1.00 1.30 1.35	0.52
-0.17	6115   0.69  0.79  1.03 1.33 1.38 	0.55
-0.18	6030   0.71  0.81  1.05 1.36 1.41	0.58
-0.19	5945   0.72  0.84  1.08 1.39 1.44	0.60
-0.20	5860   0.73  0.86  1.09 1.41 1.46	0.62
-0.20	5830   0.74  0.87  1.11 1.44 1.49	0.63
-0.21	5800   0.75  0.88  1.15 1.47 1.53	0.64
-0.21	5770   0.76  0.89  1.16 1.52 1.58	0.66
-0.22	5700   0.77  0.91  1.18 1.58 1.64	0.68
-0.23	5630   0.79  0.94  1.27 1.66 1.72	0.71
-0.25	5520   0.81  0.97  1.28 1.69 1.76	0.73
-0.28	5410   0.83  1.01  1.30 1.73 1.80	0.78
-0.31	5250   0.85  1.06  1.43 1.88 1.96 	0.82
-0.37	5080   0.93  1.14  1.53 2.00 2.09 	0.85
-0.42	4900   1.01  1.22  1.63 2.13 2.22	0.89
-0.50	4730   1.08  1.35  1.79 2.33 2.42	0.97
-0.55	4590   1.15  1.49  1.95 2.53 2.63	1.07
-0.72	4350   1.36  1.62  2.13 2.74 2.85	1.16
-0.82	4205   1.48  1.77  2.25 2.88 3.00	1.27
-0.92	4060   1.60  1.93  2.37 3.03 3.16	1.38
-1.25	3850   1.80  2.19  2.79 3.48 3.65	1.41
-1.43	3720   1.96  2.45  3.00 3.67 3.87	1.48
-1.64	3580   2.14  2.69  3.24 3.91 4.11	1.52
-2.03	3470   2.47  2.94  3.78 4.40 4.65	1.55
-2.56	3370   2.86  3.19  4.38 4.98 5.26	1.60
-3.29	3240   3.40  3.47  5.18 5.80 6.12	1.82
-4.35	3050   4.30  3.77  6.27 6.93 7.30	2.00
